# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/Manu/Braker3/braker.gtf" "-o" "/home/mabo3966/Genome_Analysis/Njaponicum_transcriptomics_heat_response/analyses/06_expression/FeatureCounts/Results/featurecounts_chr3.txt" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam
g11	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	107652;107780;108009;108009;108310;108310;108601;108601;108877;108877;109260;109260;109395;109395;110280;110280	107697;107798;108127;108127;108364;108364;108713;108713;108946;108946;109276;109276;109544;109544;111701;111701	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2011	1102	585	735	1320	948	1773
g12	contig_100_pilon	112040	112243	-	204	61	56	87	111	42	150
g13	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	113595;113984;114296;114743;115122	113781;114099;114476;114876;115265	+;+;+;+;+	762	31614	14383	24404	17797	15682	16931
g14	contig_100_pilon;contig_100_pilon;contig_100_pilon	120684;120864;121168	120743;121032;121397	+;+;+	459	23	20	27	64	65	156
g15	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	127770;128210;129979;130449	128003;129792;129996;130524	-;-;-;-	1911	427	451	474	1164	743	925
g16	contig_100_pilon;contig_100_pilon	130875;131075	131023;131336	+;+	411	1	0	0	6	1	2
g17	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	139209;141826;142752;145074;145338;145559;146121;146791;146798;146882;147328;147328;147615;147615;147882;148079;148197;148556	139410;142549;142884;145127;145378;145570;146219;146797;146980;146980;147444;147444;147683;147699;147960;148143;148303;148597	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1950	849	825	734	1350	1279	1154
g18	contig_100_pilon;contig_100_pilon	148224;148424	148372;148685	+;+	411	0	0	0	0	0	0
g19	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	156702;156702;156989;157451;157456;158467;158637;159581;160053	157011;156903;157011;158028;157966;158520;158688;159789;160558	+;+;+;+;+;+;+;+;+	1709	822	5553	2406	1904	4839	2529
g20	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	170573;170842;171562;171939;172381;173043;173638	170694;171014;171739;172020;172557;173210;173829	+;+;+;+;+;+;+	1092	1125	1420	1215	1132	1046	2313
g21	contig_100_pilon	174515	174889	-	375	0	0	6	60	69	14
g22	contig_100_pilon	177474	177821	+	348	0	0	0	0	0	0
g23	contig_100_pilon;contig_100_pilon	185591;188306	185695;188611	-;-	411	0	0	0	0	0	0
g24	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	208466;208722;209011;209459;209639	208497;208832;209211;209468;209767	-;-;-;-;-	483	20	47	58	804	89	104
g25	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	235427;235427;235427;236284;236284;236284;236626;236626;236626;237560;237564;238486;238744;238744;244357;244357;244665;244665;245033;245033;246132;246132;246385;246385;247720;247720;248116;248116;248537;248537	236058;236058;236058;236474;236474;236474;237233;237252;237252;237584;237584;238544;238837;238837;244560;244560;244766;244766;246100;246100;246249;246249;246603;246603;247929;247929;248209;248209;248886;248886	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3993	1934	1834	2043	1018	561	1233
g26	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	249090;249468;249879;250217	249258;249574;250037;250660	-;-;-;-	879	0	0	0	0	0	0
g27	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	251778;252697;252975;254439;258264	252412;252787;253155;254662;258398	+;+;+;+;+	1266	0	0	0	0	0	0
g28	contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon;contig_100_pilon	254444;258250;260996;261390;262030	254581;258642;261277;261937;262390	-;-;-;-;-	1722	0	0	0	0	0	0
g29	contig_100_pilon	264743	265330	+	588	0	0	0	0	0	0
g30	contig_100_pilon;contig_100_pilon	275595;275871	275780;275993	-;-	309	0	0	0	0	0	0
g31	contig_100_pilon	276055	276282	+	228	0	0	0	0	0	0
g32	contig_101_pilon	4985	5145	-	161	0	0	0	0	0	0
g33	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	9649;12793;13407;13625;14958;15172;15649	9785;12916;13510;13716;15073;15524;15745	+;+;+;+;+;+;+	1023	0	0	0	0	0	0
g34	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	2475;2475;2475;2475;2633;2633;2633;2633;2892;2892;2892;2892;3353;3507;3507;3507;3507;4614;4614;4614;4614;5150;5150;5150;5150;6549;6549;6549;6549;7001;7001;7001;7001;7590;7590;7590;7590;7804;7804;7804;7804;7979;8063;8063;8063;8063;8261;8293;8293;8293	2511;2511;2511;2511;2859;2859;2859;2859;3182;3267;3182;3182;3381;3716;3716;3716;3716;5083;5083;5083;5083;5275;5275;5275;5275;6923;6923;6923;6923;7043;7043;7043;7043;7751;7751;7751;7751;7873;7873;7873;7873;8011;8196;8196;8196;8196;8281;8313;8313;8313	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2334	680	891	1154	2341	1891	1147
g35	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	19306;19723;20025;20395;20836;21808;22068;22209;22368;23183	19567;19936;20298;20742;21546;21876;22162;22284;22549;23597	-;-;-;-;-;-;-;-;-;-	2646	0	0	0	0	0	0
g36	contig_102_pilon	24450	26048	-	1599	0	0	0	0	0	0
g37	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	26314;27065;27371;27854;28466;28809;29292;29988	26905;27169;27708;28270;28637;29138;29893;30185	-;-;-;-;-;-;-;-	2754	0	0	0	0	0	0
g38	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	30744;31189;31681;32553;32863;33571;33829;34488	31066;31483;32472;32666;33186;33709;33975;34663	+;+;+;+;+;+;+;+	2310	0	0	0	0	0	0
g39	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	50072;50654;51146;51589	50240;50778;51285;51787	+;+;+;+	633	0	0	0	0	0	0
g40	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	71221;71221;71991;71991;72680	71787;71787;72483;72437;72849	-;-;-;-;-	1230	4600	4506	3544	4979	5494	4606
g41	contig_102_pilon	73096	73362	+	267	186	171	126	207	153	150
g42	contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon	19136;19771;20233;20670;21134;21659;21853;22238	19146;19876;20341;20752;21255;21748;21935;22359	+;+;+;+;+;+;+;+	726	0	0	0	0	0	0
g43	contig_104_pilon;contig_104_pilon	23153;23508	23359;23633	+;+	333	0	0	0	0	0	0
g44	contig_10_pilon	2602	2823	-	222	0	0	0	0	0	0
g45	contig_15_pilon	2716	3084	+	369	0	0	0	0	0	0
g46	contig_15_pilon;contig_15_pilon	6075;10332	6194;10694	+;+	483	0	0	0	0	0	0
g47	contig_15_pilon;contig_15_pilon	13685;17944	13804;18306	+;+	483	0	0	0	0	0	0
g48	contig_15_pilon;contig_15_pilon	21298;25560	21417;25922	+;+	483	0	0	0	0	0	0
g49	contig_15_pilon;contig_15_pilon	28914;33176	29033;33538	+;+	483	0	0	0	0	0	0
g50	contig_15_pilon;contig_15_pilon	36531;40793	36650;41155	+;+	483	0	0	0	0	0	0
g51	contig_15_pilon;contig_15_pilon;contig_15_pilon	44156;48418;48859	44275;48752;49015	+;+;+	612	0	0	0	0	0	0
g52	contig_15_pilon;contig_15_pilon	51754;52494	51882;52580	+;+	216	0	0	0	0	0	0
g53	contig_15_pilon	57902	58225	-	324	0	0	0	0	0	0
g54	contig_15_pilon	69137	69460	+	324	0	0	0	0	0	0
g55	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	84599;85150;86463;86767	84840;85311;86541;86775	+;+;+;+	492	1	4	0	0	0	1
g56	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	86909;87621;88147;88695;89136;89428;89894;90455;90939;91474;91651;91873;92136;92890;93041;93202	87412;87742;88246;88824;89193;89590;90286;90790;91346;91546;91736;91992;92203;92970;93057;93272	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2730	32	41	27	9	3	14
g57	contig_15_pilon;contig_15_pilon;contig_15_pilon	94260;95847;96401	95416;96105;96487	-;-;-	1503	947	9965	5961	323	829	1580
g58	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	96512;96512;96512;96653;96653;96653;99944;99944;100158;100418;100418;100418;100733;100733;100791;101048;101052;101052	96522;96522;96522;96681;96681;96727;100005;100005;100236;100432;100432;100432;100795;100795;100795;101171;101171;101171	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	429	360	487	401	96	46	248
g59	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	101672;102040;102394;102645;102951;103154;103156;103537;103537;103951;103951;104461;104461;104817;104817;105065;105074;105772;105772;106077;106077;106442;106442	101858;102083;102504;102746;102960;103250;103250;103664;103664;104341;104341;104713;104713;104949;104949;105487;105487;105974;105974;106337;106337;106531;106531	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2433	1179	1011	958	590	263	1239
g60	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	107622;107622;108245;108245;108551;108551;108962;108962;109859	107988;107988;108354;108354;108706;108706;109143;109147;110009	+;+;+;+;+;+;+;+;+	970	53	55	39	480	161	353
g61	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	109197;109384;110537;110721;111084;111902;112152	109252;109506;110587;110792;111132;111995;112165	-;-;-;-;-;-;-	459	3967	5545	4032	5581	5234	4209
g62	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	115013;115176;115320;115489;115906	115015;115217;115382;115647;115917	+;+;+;+;+	279	30	21	13	66	45	123
g63	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	115980;115980;115980;116198;116198;116198;116449;116449;116449;116646;116646;116646;116946;116946;116946;117541;117541;117541;118008;118008;118008;118549;118549;118549;118614;119061;119061;119061;119382;119555;119696;119696	116073;116073;116073;116262;116262;116262;116556;116556;116556;116737;116737;116737;117405;117405;117405;117663;117663;117663;118133;118126;118126;118564;118642;118642;118642;119171;119171;119171;119462;119764;119764;119764	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1564	476	465	353	224	155	456
g64	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	119946;120103;120458;120500;120930;121226;121464;121678;122305	120044;120151;120471;120745;121109;121307;121571;121836;122501	+;+;+;+;+;+;+;+;+	1134	5900	867	1612	610	492	2507
g65	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	124745;124885;126186;126469;127009;127300;127540;127760;128182;128469;128656;128873;129143;131038	124850;125613;126253;126627;127167;127383;127619;127810;128293;128551;128701;128960;130491;131922	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3999	863	673	663	3817	1824	2077
g66	contig_15_pilon;contig_15_pilon	132447;133199	133112;133570	+;+	1038	4	2	10	337	98	139
g67	contig_15_pilon;contig_15_pilon;contig_15_pilon	134885;135771;137327	135305;137227;137590	-;-;-	2142	642	137	173	992	1007	853
g68	contig_15_pilon;contig_15_pilon	137889;138218	138116;138370	-;-	381	13	26	15	18	2	11
g69	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	138502;139112;139481;139663;139919;140232;140464;140832;141153;141441;141625;142054	138919;139197;139490;139725;140032;140293;140518;141033;141259;141496;141723;142191	+;+;+;+;+;+;+;+;+;+;+;+	1410	556	446	497	440	425	394
g70	contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon;contig_15_pilon	142838;142838;142838;143065;143065;143065;143436;143436;143436;143719;143719;143719;143951;143951;143951;144137;144137;144137;144386;144386;144386;144693;144693;144693;144755;144755;144755;145825;145825;145825;146069;146069;146069;146437;146437;146437;146767;146767;146767;146922;146922;146922;147084;147084;147084;147459;147459;147459;147752;147752;147752;148017;148017;148017;148514;148514;148514;148766;148766;148766;149484;149484;149484;149762;149762;149762;149995;149995;149995;153536;153536;153536;153676;153676;153676;153776;153776;153856;154099;154099;154099;154607;154607;154607;155213;155213;155213;155533;155533;155533;155698;156008;156008;156008;156379;156379;156379;156733;156733;156733	142910;142910;142910;143156;143156;143156;143506;143506;143506;143815;143815;143815;144012;144012;144012;144179;144179;144179;144550;144550;144550;144704;144704;144704;144851;144851;144851;145861;145861;145861;146135;146135;146135;146529;146529;146529;146820;146820;146820;146973;146973;146973;147331;147331;147331;147551;147551;147551;147832;147832;147832;148100;148100;148100;148597;148597;148597;148839;148839;148839;149732;149732;149732;149835;149835;149835;150167;150167;150167;153554;153554;153554;153723;153723;153723;153915;153915;153908;154248;154248;154248;154932;154932;154932;155371;155315;155315;155596;155802;155802;155802;156187;156187;156187;156495;156495;156495;156867;156867;156867	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3719	2447	2439	2202	2012	1512	2985
g71	contig_15_pilon;contig_15_pilon;contig_15_pilon	157300;157732;158082	157322;157791;158247	-;-;-	249	88	80	127	111	56	232
